PeakID (cmd=annotatePeaks.pl PLACseq_anchor1.bed mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
198	chr1	94000001	94050000	+	0	NA	exon (NM_173772, exon 4 of 4)	exon (NM_173772, exon 4 of 4)	4507	NM_173772	241159	Mm.214565	NM_173772	ENSMUSG00000034000	Neu4	9330166I04	sialidase 4	protein-coding
1	chr19	4100001	4150000	+	0	NA	promoter-TSS (NM_001078649)	promoter-TSS (NM_001078649)	858	NM_016666	11632	Mm.10433	NM_016666	ENSMUSG00000024847	Aip	AA408703|AW476050|Ara9|D19Bwg1412e|Fkbp16|Xap2	aryl-hydrocarbon receptor-interacting protein	protein-coding
683	chr2	148850001	148900000	+	0	NA	intron (NM_009976, intron 1 of 2)	intron (NM_009976, intron 1 of 2)	512	NM_009976	13010	Mm.4263	NM_009976	ENSMUSG00000027447	Cst3	CysC	cystatin C	protein-coding
248	chr1	169500001	169550000	+	0	NA	intron (NM_001355159, intron 3 of 14)	intron (NM_001355159, intron 3 of 14)	6464	NM_023284	66977	Mm.151315	NM_023284	ENSMUSG00000026683	Nuf2	2410003C07Rik|AU044112|C85691|Cdca1|NUF2R	NUF2, NDC80 kinetochore complex component	protein-coding
411	chr16	4650001	4700000	+	0	NA	intron (NM_030205, intron 3 of 27)	B1_Mus2|SINE|Alu	4720	NM_030205	78885	Mm.325512	NM_030205	ENSMUSG00000039637	Coro7	0610011B16Rik|AW048373|AW556392	coronin 7	protein-coding
1191	chr3	35650001	35700000	+	0	NA	Intergenic	Lx9|LINE|L1	-8837	NR_040748	625963	Mm.251506	NR_040748	ENSMUSG00000105662	Gm6639	-	predicted gene 6639	ncRNA
1714	chr7	139300001	139350000	+	0	NA	Intergenic	Intergenic	-64109	NM_001127363	212111	Mm.28308	NM_183144	ENSMUSG00000025477	Inpp5a	-	inositol polyphosphate-5-phosphatase A	protein-coding
1439	chr10	84800001	84850000	+	0	NA	intron (NM_001024918, intron 4 of 17)	intron (NM_001024918, intron 4 of 17)	-13148	NM_027689	71137	Mm.79070	NM_027689	ENSMUSG00000020037	Rfx4	4933412G19Rik|NYD-sp10	regulatory factor X, 4 (influences HLA class II expression)	protein-coding
1477	chr6	11900001	11950000	+	0	NA	promoter-TSS (NM_001168382)	promoter-TSS (NM_001168382)	-881	NM_029404	75725	Mm.212411	NM_029404	ENSMUSG00000029629	Phf14	1110001C23Rik|4932409F11Rik|5730446A07Rik|AA623952|AV297001|mKIAA0783	PHD finger protein 14	protein-coding
585	chr2	10100001	10150000	+	0	NA	intron (NM_010582, intron 4 of 20)	L1MC5a|LINE|L1	5683	NM_010582	16425	Mm.182043	NM_010582	ENSMUSG00000037254	Itih2	AI747202|Intin2|Itih-2	inter-alpha trypsin inhibitor, heavy chain 2	protein-coding
777	chrX	113750001	113800000	+	0	NA	intron (NM_001289734, intron 11 of 15)	L1Md_F2|LINE|L1	476744	NM_033605	93837	Mm.79760	NM_033605	ENSMUSG00000025592	Dach2	9430028N04Rik	dachshund family transcription factor 2	protein-coding
1407	chr10	41800001	41850000	+	0	NA	intron (NM_001162908, intron 1 of 9)	B1_Mus1|SINE|Alu	14426	NM_001162908	140742	Mm.139418	NM_001013370	ENSMUSG00000038332	Sesn1	1110002G11Rik|AU044290|Pa26|Sest1	sestrin 1	protein-coding
424	chr16	20500001	20550000	+	0	NA	intron (NM_001347176, intron 7 of 15)	RSINE1|SINE|B4	8014	NM_001347176	13544	Mm.247259	NM_007889	ENSMUSG00000003233	Dvl3	b2b2866Clo	dishevelled segment polarity protein 3	protein-coding
892	chr11	120500001	120550000	+	0	NA	Intergenic	B3A|SINE|B2	-5727	NM_008101	14527	Mm.22329	NM_008101	ENSMUSG00000025127	Gcgr	GR	glucagon receptor	protein-coding
444	chr16	36000001	36050000	+	0	NA	intron (NM_008465, intron 10 of 13)	L1M3|LINE|L1	-16190	NM_027113	69544	Mm.37802	NM_027113	ENSMUSG00000034379	Wdr5b	2310009C03Rik|AI606931	WD repeat domain 5B	protein-coding
395	chr15	82800001	82850000	+	0	NA	intron (NM_001114140, intron 3 of 5)	L1MB8|LINE|L1	-30755	NM_029562	76279	Mm.439931	NM_029562	ENSMUSG00000022445	Cyp2d26	1300006E06Rik	cytochrome P450, family 2, subfamily d, polypeptide 26	protein-coding
1655	chr7	59700001	59750000	+	0	NA	intron (NR_146211, intron 70 of 171)	intron (NR_146211, intron 70 of 171)	1252	NR_033778	64244		NR_033778	ENSMUSG00000096475	Snord116l1	Pwcr1l1	small nucleolar RNA, C/D box 116-like 1	snoRNA
476	chr16	75750001	75800000	+	0	NA	Intergenic	MTD-int|LTR|ERVL-MaLR	-8182	NR_027492	110920	Mm.26704	NM_030201	ENSMUSG00000032932	Hspa13	1600002I10Rik|AV006182|B230217N24Rik|Stch	heat shock protein 70 family, member 13	protein-coding
1246	chr3	101450001	101500000	+	0	NA	Intergenic	ORR1A2-int|LTR|ERVL-MaLR	97875	NM_207205	78908	Mm.257997	NM_207205	ENSMUSG00000042035	Igsf3	1700016K10Rik|2810035F16Rik|4833439O17Rik|mKIAA0466	immunoglobulin superfamily, member 3	protein-coding
1454	chr10	96100001	96150000	+	0	NA	Intergenic	Intergenic	-101207	NR_110448	74881	Mm.410819	NR_110448	ENSMUSG00000112762	4930459C07Rik	-	RIKEN cDNA 4930459C07 gene	ncRNA
1041	chr13	46300001	46350000	+	0	NA	Intergenic	MYSERV-int|LTR|ERVK	51279	NM_001005422	380842	Mm.188108	NM_001005422	ENSMUSG00000063529	Stmnd1	Gm1574	stathmin domain containing 1	protein-coding
490	chr16	95650001	95700000	+	0	NA	Intergenic	Intergenic	-27407	NM_011809	23872	Mm.290207	NM_011809	ENSMUSG00000022895	Ets2	AU022856|Ets-2	E26 avian leukemia oncogene 2, 3' domain	protein-coding
35	chr19	43500001	43550000	+	0	NA	promoter-TSS (NM_010324)	promoter-TSS (NM_010324)	-395	NM_010324	14718	Mm.19039	NM_010324	ENSMUSG00000025190	Got1	AI789014|Got-1|cAspAT|cCAT	glutamic-oxaloacetic transaminase 1, soluble	protein-coding
167	chr1	63950001	64000000	+	0	NA	Intergenic	Intergenic	10273	NR_027824	433315	Mm.342696	NM_001013800	ENSMUSG00000044689	Gm13749	-	predicted gene 13749	ncRNA
273	chr18	4250001	4300000	+	0	NA	Intergenic	L1_Mus1|LINE|L1	77953	NR_157375	26410	Mm.3275	NM_007746	ENSMUSG00000024235	Map3k8	Cot|Cot/Tpl2|Est|Estf|Tpl-2|Tpl2|c-COT	mitogen-activated protein kinase kinase kinase 8	protein-coding
1910	chr5	140850001	140900000	+	0	NA	intron (NM_175362, intron 23 of 24)	intron (NM_175362, intron 23 of 24)	-44569	NM_010302	14673	Mm.370185	NM_010302	ENSMUSG00000000149	Gna12	AI414047|AI504261|Galpha12	guanine nucleotide binding protein, alpha 12	protein-coding
41	chr19	56400001	56450000	+	0	NA	intron (NM_007611, intron 2 of 6)	intron (NM_007611, intron 2 of 6)	27871	NM_007611	12369	Mm.35687	NM_007611	ENSMUSG00000025076	Casp7	AI314680|CMH-1|ICE-IAP3|Mch3|caspase-7|mCASP-7	caspase 7	protein-coding
1529	chr6	72400001	72450000	+	0	NA	intron (NM_019802, intron 6 of 14)	intron (NM_019802, intron 6 of 14)	10692	NM_019802	56316	Mm.19937	NM_019802	ENSMUSG00000053460	Ggcx	-	gamma-glutamyl carboxylase	protein-coding
1178	chr3	8650001	8700000	+	0	NA	Intergenic	ORR1A1|LTR|ERVL-MaLR	-7962	NM_010423	15213	Mm.29581	NM_010423	ENSMUSG00000040289	Hey1	AI316788|AI414254|CHF2|HRT1|Herp2|Hesr1|bHLHb31|hesr-1	hairy/enhancer-of-split related with YRPW motif 1	protein-coding
853	chr11	84400001	84450000	+	0	NA	intron (NM_019816, intron 12 of 12)	intron (NM_019816, intron 12 of 12)	88501	NM_019816	56321	Mm.257482	NM_019816	ENSMUSG00000018697	Aatf	4933415H02Rik|5830465M17Rik|Che-1|Trb	apoptosis antagonizing transcription factor	protein-coding
917	chr9	41200001	41250000	+	0	NA	Intergenic	Intergenic	18845	NR_040392	78500	Mm.275715	NR_040392	ENSMUSG00000100837	1700063D05Rik	-	RIKEN cDNA 1700063D05 gene	ncRNA
1247	chr3	103000001	103050000	+	0	NA	intron (NM_144901, intron 1 of 19)	intron (NM_144901, intron 1 of 19)	4454	NM_144901	229663	Mm.277713	NM_144901	ENSMUSG00000068823	Csde1	AA960392|BC016898|D3Jfr1|mKIAA0885|unr	cold shock domain containing E1, RNA binding	protein-coding
1470	chr10	122550001	122600000	+	0	NA	Intergenic	URR1A|DNA|hAT-Charlie	-5109	NR_040616	319272	Mm.411763	NR_040616	ENSMUSG00000112095	A130077B15Rik	-	RIKEN cDNA A130077B15 gene	ncRNA
1068	chr13	81750001	81800000	+	0	NA	Intergenic	Intergenic	-8247	NM_007684	12626	Mm.12481	NM_007684	ENSMUSG00000021537	Cetn3	MmCEN3	centrin 3	protein-coding
608	chr2	29500001	29550000	+	0	NA	TTS (NM_026896)	TTS (NM_026896)	-49706	NR_105753	102465170		NR_105753	ENSMUSG00000098539	Mir133c	Gm27865|mmu-mir-133c	microRNA 133c	ncRNA
1587	chr6	137400001	137450000	+	0	NA	intron (NM_001164402, intron 6 of 15)	RSINE1|SINE|B4	14279	NM_001164402	19277	Mm.186361	NM_011216	ENSMUSG00000030223	Ptpro	D28|GLEPP1|PTPBK|PTPROt|PTPU2|PTPoc|PTPphi|Ptpn15|R-PTP-O	protein tyrosine phosphatase, receptor type, O	protein-coding
1628	chr7	21550001	21600000	+	0	NA	Intergenic	B1_Mm|SINE|Alu	-28910	NM_001166839	100043016	Mm.484991	NM_001166839	ENSMUSG00000093941	Vmn1r131	Gm4172	vomeronasal 1 receptor 131	protein-coding
1856	chr5	74300001	74350000	+	0	NA	intron (NM_001114660, intron 5 of 8)	PB1D9|SINE|Alu	129674	NM_026878	68939	Mm.293316	NM_026878	ENSMUSG00000049907	Rasl11b	1190017B18Rik	RAS-like, family 11, member B	protein-coding
1553	chr6	103300001	103350000	+	0	NA	Intergenic	L1_Mur1|LINE|L1	-185876	NM_007697	12661	Mm.251288	NM_007697	ENSMUSG00000030077	Chl1	A530023M13Rik|AI465420|CALL|LICAM2	cell adhesion molecule L1-like	protein-coding
1570	chr6	123450001	123500000	+	0	NA	Intergenic	Intergenic	-56939	NM_001104634	667180	Mm.469877	NM_001104634	ENSMUSG00000094145	Vmn2r20	EG667180	vomeronasal 2, receptor 20	protein-coding
1863	chr5	88900001	88950000	+	0	NA	intron (NM_001359211, intron 1 of 26)	Lx8b|LINE|L1	37740	NM_001136260	54403	Mm.41044	NM_018760	ENSMUSG00000060961	Slc4a4	AI835705|NBC|NBC1	solute carrier family 4 (anion exchanger), member 4	protein-coding
1199	chr3	51450001	51500000	+	0	NA	3' UTR (NM_053089, exon 20 of 20)	3' UTR (NM_053089, exon 20 of 20)	-8966	NM_016858	19338	Mm.1664	NM_016858	ENSMUSG00000027739	Rab33b	-	RAB33B, member RAS oncogene family	protein-coding
517	chr12	31950001	32000000	+	0	NA	intron (NM_001364408, intron 5 of 10)	intron (NM_001364408, intron 5 of 10)	-24755	NM_177993	73389	Mm.390461	NM_153198	ENSMUSG00000002996	Hbp1	1700058O05Rik|BE629963|C330012F01Rik|C86454	high mobility group box transcription factor 1	protein-coding
1276	chr3	135850001	135900000	+	0	NA	intron (NM_026228, intron 6 of 8)	intron (NM_026228, intron 6 of 8)	-34731	NR_040540	71038	Mm.410798	NR_040540	ENSMUSG00000106306	4933401H06Rik	-	RIKEN cDNA 4933401H06 gene	ncRNA
1558	chr6	113050001	113100000	+	0	NA	intron (NR_027009, intron 1 of 1)	intron (NR_027009, intron 1 of 1)	2244	NR_027008	14910	Mm.280950	NR_027008	ENSMUSG00000086429	Gt(ROSA)26Sor	AV258896|Gtrgeo26|Gtrosa26|R26|ROSA26|Thumpd3as1	gene trap ROSA 26, Philippe Soriano	ncRNA
817	chr11	31650001	31700000	+	0	NA	Intergenic	ORR1B2|LTR|ERVL-MaLR	-3138	NM_001024919	69556	Mm.34183	NM_001024919	ENSMUSG00000044502	Bod1	2310022M17Rik|BOD2.1|Fam44b	biorientation of chromosomes in cell division 1	protein-coding
658	chr2	91750001	91800000	+	0	NA	intron (NM_001080754, intron 8 of 18)	B2_Mm2|SINE|B2	44862	NM_001080754	228361	Mm.436667	NM_172669	ENSMUSG00000040506	Ambra1	2310079H06Rik|A130023A14|AA474864|AV021921|D030051N19Rik|mKIAA1736	autophagy/beclin 1 regulator 1	protein-coding
554	chr12	89500001	89550000	+	0	NA	intron (NM_172544, intron 13 of 19)	intron (NM_172544, intron 13 of 19)	-287483	NM_001252074	18191	Mm.425766	NM_172544	ENSMUSG00000066392	Nrxn3	-	neurexin III	protein-coding
1812	chr4	150300001	150350000	+	0	NA	intron (NM_001085492, intron 1 of 22)	intron (NM_001085492, intron 1 of 22)	43084	NM_001085492	68703	Mm.291274	NM_001085492	ENSMUSG00000039852	Rere	1110033A15Rik|AI414665|ARG|ARP|ATN1L|AW742570|Atr2|DNB1|eye<m03Jus>|eyes3|mKIAA0458	arginine glutamic acid dipeptide (RE) repeats	protein-coding
783	chrX	136400001	136450000	+	0	NA	Intergenic	L1Md_T|LINE|L1	44041	NM_177748	245615	Mm.246624	NM_177748	ENSMUSG00000057439	Kir3dl2	Kirl2	killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 2	protein-coding
1567	chr6	122300001	122350000	+	0	NA	intron (NM_001042623, intron 6 of 13)	intron (NM_001042623, intron 6 of 13)	14657	NR_073364	13619	Mm.6822	NM_007905	ENSMUSG00000040669	Phc1	AW557034|Edr|Edr1|Mph1|Rae-28|rae28	polyhomeotic 1	protein-coding
269	chr1	191400001	191450000	+	0	NA	Intergenic	MER5A|DNA|hAT-Charlie	-27959	NM_144880	226849	Mm.205569	NM_144880	ENSMUSG00000026626	Ppp2r5a	PR61alpha	protein phosphatase 2, regulatory subunit B', alpha	protein-coding
900	chr9	14850001	14900000	+	0	NA	Intergenic	MLT1D|LTR|ERVL-MaLR	14790	NM_010287	14608	Mm.4672	NM_010287	ENSMUSG00000031932	Gpr83	AW045253|Gir|Gpr72|RP105|RP39|RP82	G protein-coupled receptor 83	protein-coding
1133	chr14	44400001	44450000	+	0	NA	Intergenic	Intergenic	-75122	NM_198677	385138	Mm.293026	NM_198677	ENSMUSG00000072145	BC061237	-	cDNA sequence BC061237	protein-coding
984	chr9	113650001	113700000	+	0	NA	intron (NM_001164677, intron 9 of 17)	intron (NM_001164677, intron 9 of 17)	33259	NM_001164678	18571	Mm.29816	NM_011052	ENSMUSG00000032504	Pdcd6ip	AI480591|AW544830|Aip1|Alix|C76364|Eig2|mKIAA1375	programmed cell death 6 interacting protein	protein-coding
1609	chr7	8050001	8100000	+	0	NA	Intergenic	IAP1-MM_I-int|LTR|ERVK	18037	NR_015598	72716	Mm.422732	NR_015598		2810047C21Rik1	100042870|2810047C21Rik|AA683836|Gm4082	RIKEN cDNA 2810047C21 gene 1	ncRNA
804	chr11	13400001	13450000	+	0	NA	Intergenic	Intergenic	754041	NR_131011	75280	Mm.108492	NR_131011	ENSMUSG00000085452	4930554G24Rik	-	RIKEN cDNA 4930554G24 gene	ncRNA
957	chr9	83350001	83400000	+	0	NA	Intergenic	(CA)n|Simple_repeat|Simple_repeat	-56547	NR_102437	100039186	Mm.212721	NR_102437	ENSMUSG00000099718	Gm2087	-	predicted gene 2087	ncRNA
1204	chr3	53450001	53500000	+	0	NA	intron (NM_173382, intron 8 of 12)	intron (NM_173382, intron 8 of 12)	11205	NM_173382	212127	Mm.491292	NM_173382	ENSMUSG00000049504	Proser1	2810046L04Rik|9330161F11	proline and serine rich 1	protein-coding
793	chrX	159000001	159050000	+	0	NA	Intergenic	RMER13B|LTR|ERVK	-230782	NM_148945	110651	Mm.328476	NM_148945	ENSMUSG00000031309	Rps6ka3	MAPKAPK-1b|MPK-9|Rsk2|S6K-alpha3|p90RSK3|pp90RSK2	ribosomal protein S6 kinase polypeptide 3	protein-coding
378	chr15	61400001	61450000	+	0	NA	Intergenic	Intergenic	349451	NR_040350	432956	Mm.404918	NR_040350	ENSMUSG00000116031	D030024E09Rik	-	RIKEN cDNA D030024E09 gene	ncRNA
352	chr15	25800001	25850000	+	0	NA	Intergenic	Intergenic	-18298	NM_001034851	66270	Mm.25311	NM_025459	ENSMUSG00000022270	Retreg1	1810015C04Rik|AU015349|Fam134b|Retreg1d	reticulophagy regulator 1	protein-coding
1073	chr13	92950001	93000000	+	0	NA	Intergenic	Intergenic	-98304	NR_036451	100502942	Mm.441946	NM_177623	ENSMUSG00000114382	Gm4814	C920025J10|EG218444	predicted gene 4814	ncRNA
1150	chr14	64600001	64650000	+	0	NA	Intergenic	Lx9|LINE|L1	-27541	NM_001081177	16554	Mm.23611	NM_001081177	ENSMUSG00000060012	Kif13b	5330429L19Rik|6030414C01|AI429803|C130021D12Rik|GAKIN	kinesin family member 13B	protein-coding
258	chr1	180050001	180100000	+	0	NA	intron (NM_001033285, intron 11 of 36)	intron (NM_001033285, intron 11 of 36)	113911	NM_001033285	226751	Mm.259655	NM_001033285	ENSMUSG00000026490	Cdc42bpa	A930014J19Rik|DMPK-like	CDC42 binding protein kinase alpha	protein-coding
176	chr1	74550001	74600000	+	0	NA	intron (NM_029888, intron 5 of 8)	intron (NM_029888, intron 5 of 8)	13028	NM_001310668	77264	Mm.207298	NM_029888	ENSMUSG00000026135	Zfp142	9330177B18Rik|BB154236|mKIAA0236	zinc finger protein 142	protein-coding
421	chr16	18400001	18450000	+	0	NA	intron (NM_001111062, intron 1 of 5)	intron (NM_001111062, intron 1 of 5)	-1417	NM_013711	26462	Mm.390906	NM_013711	ENSMUSG00000075704	Txnrd2	AA118373|ESTM573010|TGR|Tr3|Trxr2|Trxrd2	thioredoxin reductase 2	protein-coding
1217	chr3	68600001	68650000	+	0	NA	intron (NM_013928, intron 6 of 6)	intron (NM_013928, intron 6 of 6)	52632	NM_013928	30953	Mm.331064	NM_013928	ENSMUSG00000027777	Schip1	Nf2ip|Schip-1	schwannomin interacting protein 1	protein-coding
85	chr17	50800001	50850000	+	0	NA	intron (NM_028162, intron 15 of 21)	intron (NM_028162, intron 15 of 21)	126319	NM_001297747	12228	Mm.392910	NM_009770	ENSMUSG00000022863	Btg3	ANA|tob5	B cell translocation gene 3	protein-coding
932	chr9	58400001	58450000	+	0	NA	Intergenic	(CA)n|Simple_repeat|Simple_repeat	-30173	NR_040736	74879	Mm.416924	NR_040736	ENSMUSG00000097651	4930461G14Rik	-	RIKEN cDNA 4930461G14 gene	ncRNA
559	chr12	100550001	100600000	+	0	NA	intron (NM_153587, intron 11 of 17)	intron (NM_153587, intron 11 of 17)	-54178	NM_001033213	104718	Mm.295441	NM_001033213	ENSMUSG00000033530	Ttc7b	AA408451|Ttc7l1	tetratricopeptide repeat domain 7B	protein-coding
16	chr19	17350001	17400000	+	0	NA	Intergenic	L2|LINE|L2	-2156	NM_010265	14537	Mm.244825	NM_010265	ENSMUSG00000038843	Gcnt1	5630400D21Rik|B130048E03|C2 GlcNAcT|C2GNT|IGnT	glucosaminyl (N-acetyl) transferase 1, core 2	protein-coding
224	chr1	150400001	150450000	+	0	NA	intron (NM_133780, intron 28 of 51)	intron (NM_133780, intron 28 of 51)	-31920	NM_001357579	226499	Mm.222093	NM_145511	ENSMUSG00000006010	Odr4	1810053E15Rik|odr-4	odr4 GPCR localization factor homolog	protein-coding
300	chr18	44900001	44950000	+	0	NA	Intergenic	Lx8|LINE|L1	96335	NM_001163013	240255	Mm.244482	NM_001163013	ENSMUSG00000034653	Ythdc2	3010002F02Rik|BC037178|mYTHDC2	YTH domain containing 2	protein-coding
1262	chr3	116300001	116350000	+	0	NA	intron (NM_001080818, intron 9 of 15)	intron (NM_001080818, intron 9 of 15)	29244	NM_001355646	229776	Mm.17647	NM_001080818	ENSMUSG00000033502	Cdc14a	A830059A17Rik|CDC14A2|CDC14a1|Cdc14	CDC14 cell division cycle 14A	protein-coding
207	chr1	125400001	125450000	+	0	NA	intron (NM_001205385, intron 2 of 12)	intron (NM_001205385, intron 2 of 12)	10727	NM_023735	74117	Mm.183102	NM_023735	ENSMUSG00000026341	Actr3	1200003A09Rik|Arp3	ARP3 actin-related protein 3	protein-coding
897	chr9	13200001	13250000	+	0	NA	Intergenic	Intergenic	20741	NM_001033181	77532	Mm.459434	NM_001033181	ENSMUSG00000079083	Jrkl	C030035D04Rik|HHMJG	Jrk-like	protein-coding
1467	chr10	121600001	121650000	+	0	NA	intron (NM_001359618, intron 1 of 24)	intron (NM_001359618, intron 1 of 24)	1332	NM_001081056	73192	Mm.25042	NM_001081056	ENSMUSG00000034667	Xpot	1110004L07Rik|3110065H13Rik|AI452076|C79645|EXPORTIN-T	exportin, tRNA (nuclear export receptor for tRNAs)	protein-coding
371	chr15	58550001	58600000	+	0	NA	intron (NM_001370912, intron 14 of 40)	intron (NM_001370912, intron 14 of 40)	64952	NM_001370912	631797		NM_001370912	ENSMUSG00000037106	Fer1l6	EG631797	fer-1-like 6 (C. elegans)	protein-coding
133	chr1	37450001	37500000	+	0	NA	intron (NM_173870, intron 5 of 15)	intron (NM_173870, intron 5 of 15)	13605	NR_024017	77633	Mm.483177	NR_024017	ENSMUSG00000103948	4930594C11Rik	-	G1 to S phase transition pseudogene	pseudo
702	chr2	164650001	164700000	+	0	NA	promoter-TSS (NM_001161806)	promoter-TSS (NM_001161806)	-913	NM_001161806	629761	Mm.389336	NM_001161806	ENSMUSG00000078940	Wfdc11	-	WAP four-disulfide core domain 11	protein-coding
1242	chr3	100400001	100450000	+	0	NA	Intergenic	Intergenic	-1405	NR_040543	73806	Mm.396549	NR_040543	ENSMUSG00000086923	4930406D18Rik	-	RIKEN cDNA 4930406D18 gene	ncRNA
1842	chr5	53850001	53900000	+	0	NA	intron (NM_144517, intron 15 of 20)	intron (NM_144517, intron 15 of 20)	65373	NM_144517	67249	Mm.28823	NM_144517	ENSMUSG00000039178	Tbc1d19	2810453K03Rik	TBC1 domain family, member 19	protein-coding
1690	chr7	107650001	107700000	+	0	NA	intron (NM_001357436, intron 1 of 22)	intron (NM_001357436, intron 1 of 22)	9522	NM_001357437	19024	Mm.2817	NM_008905	ENSMUSG00000036528	Ppfibp2	Cclp1	PTPRF interacting protein, binding protein 2 (liprin beta 2)	protein-coding
1390	chr10	25250001	25300000	+	0	NA	intron (NM_018747, intron 3 of 7)	intron (NM_018747, intron 3 of 7)	24163	NM_018747	432442	Mm.485937	NM_018747	ENSMUSG00000039166	Akap7	6430401D08|AI662165|AKAP15|Akap18|BB170514	A kinase (PRKA) anchor protein 7	protein-coding
677	chr2	129650001	129700000	+	0	NA	Intergenic	L1Md_F2|LINE|L1	23658	NM_001286502	18610	Mm.6239	NM_018863	ENSMUSG00000027400	Pdyn	Dyn	prodynorphin	protein-coding
700	chr2	164300001	164350000	+	0	NA	Intergenic	Lx7|LINE|L1	-7765	NM_009301	20944	Mm.140154	NM_009301	ENSMUSG00000017004	Svs5	BB115186|Semg1|Svp-1|Svp1|Svp5	seminal vesicle secretory protein 5	protein-coding
1251	chr3	104000001	104050000	+	0	NA	intron (NM_001159354, intron 16 of 20)	intron (NM_001159354, intron 16 of 20)	-56684	NR_030676	100125931	Mm.400392	NR_030676	ENSMUSG00000089998	Phtf1os	A130049A11Rik	putative homeodomain transcription factor 1, opposite strand	ncRNA
29	chr19	36100001	36150000	+	0	NA	Intergenic	LTR82B|LTR|ERVL	-5156	NM_013468	107765	Mm.10279	NM_013468	ENSMUSG00000024803	Ankrd1	Alrp|CARP|Crap|MARP1	ankyrin repeat domain 1 (cardiac muscle)	protein-coding
1280	chr3	142250001	142300000	+	0	NA	intron (NM_001190856, intron 10 of 14)	intron (NM_001190856, intron 10 of 14)	-105575	NM_001277217	12167	Mm.39089	NM_007560	ENSMUSG00000052430	Bmpr1b	AI385617|ALK-6|AV355320|Acvrlk6|Alk6|BMPR-1B|BMPR-IB|CFK-43a|SKR6	bone morphogenetic protein receptor, type 1B	protein-coding
1312	chr8	46650001	46700000	+	0	NA	Intergenic	Intergenic	57709	NM_001284409	12367	Mm.34405	NM_009810	ENSMUSG00000031628	Casp3	A830040C14Rik|AC-3|CASP-3|CC3|CPP-32|CPP32|Caspase-3|Lice|SCA-1|Yama|mldy	caspase 3	protein-coding
1805	chr4	145800001	145850000	+	0	NA	intron (NM_001083918, intron 4 of 6)	intron (NM_001083918, intron 4 of 6)	-12219	NR_033612	236069	Mm.276881	NR_033612	ENSMUSG00000096233	Gm13238	-	carnitine deficiency-associated gene expressed in ventricle 3 pseudogene	pseudo
1614	chr7	9900001	9950000	+	0	NA	Intergenic	L1_Mus3|LINE|L1	28585	NM_001105152	625580	Mm.469893	NM_001105152	ENSMUSG00000095914	Vmn2r48	EG625580	vomeronasal 2, receptor 48	protein-coding
491	chr12	3900001	3950000	+	0	NA	Intergenic	B4|SINE|B4	-29945	NM_001278583	18976	Mm.277996	NM_008895	ENSMUSG00000020660	Pomc	ACTH|BE|Beta-LPH|Clip|Gamma-LPH|Npp|Pomc-1|Pomc1|alpha-MSH|alphaMSH|beta-MSH|gamma-MSH	pro-opiomelanocortin-alpha	protein-coding
1356	chr8	122400001	122450000	+	0	NA	exon (NM_001301284, exon 5 of 5)	exon (NM_001301284, exon 5 of 5)	2980	NM_145834	234836	Mm.222808	NM_145834	ENSMUSG00000046108	Il17c	IL-17C	interleukin 17C	protein-coding
93	chr17	56100001	56150000	+	0	NA	intron (NM_001130456, intron 16 of 16)	intron (NM_001130456, intron 16 of 16)	-3054	NM_029796	76905	Mm.348025	NM_029796	ENSMUSG00000037095	Lrg1	1300008B03Rik|2310031E04Rik|Lrg|Lrhg	leucine-rich alpha-2-glycoprotein 1	protein-coding
1468	chr10	122050001	122100000	+	0	NA	Intergenic	Intergenic	4879	NR_004052	668272	Mm.236764	NR_004052		Gm9079	-	transmembrane emp24 domain trafficking protein 2 pseudogene	pseudo
107	chr17	79100001	79150000	+	0	NA	Intergenic	Intergenic	73094	NM_027455	70536	Mm.293870	NM_027455	ENSMUSG00000024084	Qpct	5730422A13Rik	glutaminyl-peptide cyclotransferase (glutaminyl cyclase)	protein-coding
1500	chr6	49500001	49550000	+	0	NA	Intergenic	L1M2c|LINE|L1	129396	NM_029916	77485	Mm.128054	NM_029916	ENSMUSG00000023403	Stk31	C330007K24Rik	serine threonine kinase 31	protein-coding
1364	chr10	3950001	4000000	+	0	NA	intron (NM_172308, intron 1 of 27)	intron (NM_172308, intron 1 of 27)	1925	NM_172308	270685	Mm.184752	NM_172308	ENSMUSG00000040675	Mthfd1l	2410004L15Rik|AI647056|Fthfsdc1	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like	protein-coding
934	chr9	59700001	59750000	+	0	NA	Intergenic	Intergenic	17236	NM_001033498	546134	Mm.297580	NM_001033498	ENSMUSG00000074259	Gramd2	BC064463|Gramd2a	GRAM domain containing 2	protein-coding
1331	chr8	83500001	83550000	+	0	NA	Intergenic	L1_Mus4|LINE|L1	-16093	NM_146270	258267	Mm.377401	NM_146270	ENSMUSG00000047286	Olfr370	MOR267-16|MOR26716	olfactory receptor 370	protein-coding
651	chr2	78000001	78050000	+	0	NA	Intergenic	Intergenic	-26177	NR_108098	78158	Mm.78473	NR_108098	ENSMUSG00000085431	4930440I19Rik	-	RIKEN cDNA 4930440I19 gene	ncRNA
