	chr1	s1	e1	chr2	s2	e2	Interaction_score	Annotation_1	Detailed_Annotation_1	Distance_to_TSS_1	Nearest_PromoterID_1	Entrez_ID_1	Nearest_Unigene_1	Nearest_Refseq_1	Nearest_Ensembl_1	Gene_Name_1	Gene_Alias_1	Gene_Description_1	Gene_Type_1	Annotation_2	Detailed_Annotation_2	Distance_to_TSS_2	Nearest_PromoterID_2	Entrez_ID_2	Nearest_Unigene_2	Nearest_Refseq_2	Nearest_Ensembl_2	Gene_Name_2	Gene_Alias_2	Gene_Description_2	Gene_Type_2	TSS_1	TSS_2
451	chr16	43500000	43550000	chr16	43750000	43800000		intron (NM_181058, intron 3 of 6)	intron (NM_181058, intron 3 of 6)	-104804	NR_046026	626693.0	Mm.447083	NR_046026	ENSMUSG00000085499	Gm15713	-	predicted gene 15713	ncRNA	intron (NM_007877, intron 1 of 6)	intron (NM_007877, intron 1 of 6)	12779	NM_007877	13490.0	Mm.439735	NM_007877	ENSMUSG00000022705	Drd3	D3R	dopamine receptor D3	protein-coding	-21.0	3.0
452	chr16	43850000	43900000	chr16	45700000	45750000		intron (NM_029128, intron 4 of 7)	PB1D10|SINE|Alu	14676	NM_001356329	106248.0	Mm.275354	NM_029128	ENSMUSG00000022704	Qtrt2	3110012M05Rik|4930470H18Rik|AI648807|Qrtr2|Qtrtd1	queuine tRNA-ribosyltransferase accessory subunit 2	protein-coding	promoter-TSS (NM_019754)	promoter-TSS (NM_019754)	-469	NM_019754	56370.0	Mm.24183	NM_019754	ENSMUSG00000022658	Tagln3	2700038H05Rik|2900005O10Rik|AI426007|Np25	transgelin 3	protein-coding	3.0	-0.0
453	chr16	44100000	44150000	chr16	45150000	45200000		intron (NM_007508, intron 1 of 14)	intron (NM_007508, intron 1 of 14)	14259	NM_001358203	11964.0	Mm.217787	NM_007508	ENSMUSG00000052459	Atp6v1a	AI647066|Atp6a1|Atp6a2|Atp6v1a1|VA68|VPP2	ATPase, H+ transporting, lysosomal V1 subunit A	protein-coding	intron (NM_026402, intron 5 of 11)	intron (NM_026402, intron 5 of 11)	16171	NM_026402	67841.0	Mm.41775	NM_026402	ENSMUSG00000022663	Atg3	2610016C12Rik|APG3|Apg3l|Atg3l|PC3-96	autophagy related 3	protein-coding	3.0	3.0
454	chr16	44250000	44300000	chr16	44300000	44350000		intron (NM_198034, intron 9 of 24)	B3A|SINE|B2	57838	NM_001159419	320007.0	Mm.242144	NM_198034	ENSMUSG00000022696	Sidt1	AW045928|B830021E24Rik	SID1 transmembrane family, member 1	protein-coding	intron (NM_198034, intron 1 of 24)	L1M2|LINE|L1	7838	NM_001159419	320007.0	Mm.242144	NM_198034	ENSMUSG00000022696	Sidt1	AW045928|B830021E24Rik	SID1 transmembrane family, member 1	protein-coding	12.0	2.0
455	chr16	44750000	44800000	chr16	45000000	45050000		intron (NM_021325, intron 1 of 6)	T-rich|Low_complexity|Low_complexity	9264	NM_021325	57781.0	Mm.416152	NM_021325	ENSMUSG00000022667	Cd200r1	CD200R|Mox2r|OX2R	CD200 receptor 1	protein-coding	Intergenic	Intergenic	-69011	NM_026439	67896.0	Mm.181074	NM_026439	ENSMUSG00000022665	Ccdc80	2610001E17Rik|DRO1|Ssg1|Urb	coiled-coil domain containing 80	protein-coding	2.0	-14.0
456	chr16	45150000	45200000	chr16	45600000	45650000		intron (NM_026402, intron 5 of 11)	intron (NM_026402, intron 5 of 11)	16171	NM_026402	67841.0	Mm.41775	NM_026402	ENSMUSG00000022663	Atg3	2610016C12Rik|APG3|Apg3l|Atg3l|PC3-96	autophagy related 3	protein-coding	Intergenic	Intergenic	14560	NM_008099	14525.0	Mm.4799	NM_008099	ENSMUSG00000022659	Gcsam	Gcet|Gcet2|M17|M17-L	germinal center associated, signaling and motility	protein-coding	3.0	3.0
457	chr16	50200000	50250000	chr16	50700000	50750000		exon (NM_001347240, exon 12 of 17)	exon (NM_001347240, exon 12 of 17)	-152148	NR_045935	224180.0	Mm.146439	NM_175010		Gm4827	B130050K08|EG224180	predicted gene 4827	ncRNA	Intergenic	Intergenic	-2132	NR_105782	102466634.0		NR_105782	ENSMUSG00000098482	Mir6363	Gm28026|mmu-mir-6363	microRNA 6363	ncRNA	-30.0	-0.0
458	chr16	51300000	51350000	chr16	52150000	52200000		Intergenic	L1Md_A|LINE|L1	541591	NR_131006	78639.0	Mm.160109	NR_131005	ENSMUSG00000092276	1700116B05Rik	-	RIKEN cDNA 1700116B05 gene	ncRNA	intron (NM_001033238, intron 13 of 17)	intron (NM_001033238, intron 13 of 17)	143451	NM_001033238	208650.0	Mm.328206	NM_001033238	ENSMUSG00000022637	Cblb	AI429560|AI851073|Cbl-b	Casitas B-lineage lymphoma b	protein-coding	108.0	29.0
459	chr16	55450000	55500000	chr16	56700000	56750000		Intergenic	Intergenic	-19731	NR_039578	100628589.0		NR_039578	ENSMUSG00000093292	Mir5118	mmu-mir-5118|mu-mir-5118	microRNA 5118	ncRNA	intron (NM_172825, intron 15 of 15)	intron (NM_172825, intron 15 of 15)	-7550	NM_019678	21787.0	Mm.425970	NM_019678	ENSMUSG00000022757	Tfg	AI173908	Trk-fused gene	protein-coding	-4.0	-2.0
460	chr16	55500000	55550000	chr16	55850000	55900000		Intergenic	ORR1F|LTR|ERVL-MaLR	30269	NR_039578	100628589.0		NR_039578	ENSMUSG00000093292	Mir5118	mmu-mir-5118|mu-mir-5118	microRNA 5118	ncRNA	intron (NM_001134457, intron 2 of 5)	intron (NM_001134457, intron 2 of 5)	20279	NM_001134457	385658.0	Mm.310635	NM_001134457	ENSMUSG00000075033	Nxpe3	Fam55c|Gm1752|Gm611	neurexophilin and PC-esterase domain family, member 3	protein-coding	6.0	4.0
461	chr16	55850000	55900000	chr16	57100000	57150000		intron (NM_001134457, intron 2 of 5)	intron (NM_001134457, intron 2 of 5)	20279	NM_001134457	385658.0	Mm.310635	NM_001134457	ENSMUSG00000075033	Nxpe3	Fam55c|Gm1752|Gm611	neurexophilin and PC-esterase domain family, member 3	protein-coding	intron (NM_138599, intron 1 of 11)	intron (NM_138599, intron 1 of 11)	3286	NM_138599	28185.0	Mm.196933	NM_138599	ENSMUSG00000022752	Tomm70a	2610044B22Rik|D16Ium22|D16Ium22e|D16Wsu109e|Tom70|Tomm70|mKIAA0719	translocase of outer mitochondrial membrane 70A	protein-coding	4.0	1.0
462	chr16	55900000	55950000	chr16	56050000	56100000		exon (NM_001159366, exon 4 of 5)	exon (NM_001159366, exon 4 of 5)	9848	NM_028815	74201.0	Mm.178427	NM_028815	ENSMUSG00000022604	Cep97	2810403B08Rik|4932439K18Rik|AA437768|E130116N02Rik|Lrriq2	centrosomal protein 97	protein-coding	promoter-TSS (NM_025483)	promoter-TSS (NM_025483)	-404	NM_001003973	66315.0	Mm.255784	NM_025483	ENSMUSG00000052917	Senp7	2410152H17Rik|2810413I22Rik|2900036C23Rik|6030449K19Rik|AI790676	SUMO1/sentrin specific peptidase 7	protein-coding	2.0	-0.0
463	chr16	55900000	55950000	chr16	56700000	56750000		exon (NM_001159366, exon 4 of 5)	exon (NM_001159366, exon 4 of 5)	9848	NM_028815	74201.0	Mm.178427	NM_028815	ENSMUSG00000022604	Cep97	2810403B08Rik|4932439K18Rik|AA437768|E130116N02Rik|Lrriq2	centrosomal protein 97	protein-coding	intron (NM_172825, intron 15 of 15)	intron (NM_172825, intron 15 of 15)	-7550	NM_019678	21787.0	Mm.425970	NM_019678	ENSMUSG00000022757	Tfg	AI173908	Trk-fused gene	protein-coding	2.0	-2.0
464	chr16	56700000	56750000	chr16	57150000	57200000		intron (NM_172825, intron 15 of 15)	intron (NM_172825, intron 15 of 15)	-7550	NM_001357125	21787.0	Mm.425970	NM_019678	ENSMUSG00000022757	Tfg	AI173908	Trk-fused gene	protein-coding	intron (NM_001358433, intron 16 of 18)	L1_Mus4|LINE|L1	-7668	NM_023175	52633.0	Mm.383203	NM_023175	ENSMUSG00000022751	Nit2	1190017B19Rik|D16Ertd502e	nitrilase family, member 2	protein-coding	-2.0	-2.0
465	chr16	56700000	56750000	chr16	57600000	57650000		intron (NM_172825, intron 15 of 15)	intron (NM_172825, intron 15 of 15)	-7550	NM_001357125	21787.0	Mm.425970	NM_019678	ENSMUSG00000022757	Tfg	AI173908	Trk-fused gene	protein-coding	3' UTR (NM_007739, exon 4 of 4)	3' UTR (NM_007739, exon 4 of 4)	14214	NR_162788	114482837.0		NR_162788		Mir1970b	mmu-mir-1970b	microRNA mir-1970b	ncRNA	-2.0	3.0
466	chr16	57100000	57150000	chr16	58650000	58700000		intron (NM_138599, intron 1 of 11)	intron (NM_138599, intron 1 of 11)	3286	NM_138599	28185.0	Mm.196933	NM_138599	ENSMUSG00000022752	Tomm70a	2610044B22Rik|D16Ium22|D16Ium22e|D16Wsu109e|Tom70|Tomm70|mKIAA0719	translocase of outer mitochondrial membrane 70A	protein-coding	intron (NM_007757, intron 4 of 6)	intron (NM_007757, intron 4 of 6)	4792	NM_007757	12892.0	Mm.291519	NM_007757	ENSMUSG00000022742	Cpox	CPX|Cpo|HCP|cac|nct	coproporphyrinogen oxidase	protein-coding	1.0	1.0
467	chr16	57200000	57250000	chr16	57550000	57600000		intron (NM_001358433, intron 1 of 18)	intron (NM_001358433, intron 1 of 18)	6466	NM_001358433	67581.0	Mm.257819	NM_026254	ENSMUSG00000022749	Tbc1d23	4930451A13Rik|AU015720|AU043671|AU043778|D030022P07Rik|W51689	TBC1 domain family, member 23	protein-coding	intron (NM_025599, intron 1 of 9)	intron (NM_025599, intron 1 of 9)	25758	NM_001177871	78749.0	Mm.328360	NM_001040397	ENSMUSG00000043336	Filip1l	4631422O05Rik|Doc1	filamin A interacting protein 1-like	protein-coding	1.0	5.0
468	chr16	57600000	57650000	chr16	58650000	58700000		3' UTR (NM_007739, exon 4 of 4)	3' UTR (NM_007739, exon 4 of 4)	14214	NR_162788	114482837.0		NR_162788		Mir1970b	mmu-mir-1970b	microRNA mir-1970b	ncRNA	intron (NM_007757, intron 4 of 6)	intron (NM_007757, intron 4 of 6)	4792	NM_007757	12892.0	Mm.291519	NM_007757	ENSMUSG00000022742	Cpox	CPX|Cpo|HCP|cac|nct	coproporphyrinogen oxidase	protein-coding	3.0	1.0
469	chr16	58450000	58500000	chr16	58600000	58650000		intron (NM_018784, intron 7 of 10)	intron (NM_018784, intron 7 of 10)	48426	NM_018784	54613.0	Mm.212742	NM_018784	ENSMUSG00000022747	St3gal6	1700023B24Rik|AI930218|AW552396|Siat10|St3galVI	ST3 beta-galactoside alpha-2,3-sialyltransferase 6	protein-coding	Intergenic	(TCTCTG)n|Simple_repeat|Simple_repeat	-8022	NM_001033404	328695.0	Mm.293308	NM_001033404	ENSMUSG00000075002	Gm813	Gm1781	predicted gene 813	protein-coding	10.0	-2.0
470	chr16	58500000	58550000	chr16	59500000	59550000		promoter-TSS (NM_001357433)	promoter-TSS (NM_001357433)	-747	NM_001357433	54613.0	Mm.212742	NM_018784	ENSMUSG00000022747	St3gal6	1700023B24Rik|AI930218|AW552396|Siat10|St3galVI	ST3 beta-galactoside alpha-2,3-sialyltransferase 6	protein-coding	intron (NM_174848, intron 15 of 21)	intron (NM_174848, intron 15 of 21)	53225	NM_025910	67014.0	Mm.289150	NM_025910	ENSMUSG00000022724	Riox2	1810047J07Rik|2410057H13Rik|3830408E23Rik|AI449204|Mina	ribosomal oxygenase 2	protein-coding	-0.0	11.0
471	chr16	59450000	59500000	chr16	59600000	59650000		intron (NM_025910, intron 1 of 9)	intron (NM_025910, intron 1 of 9)	3225	NM_025910	67014.0	Mm.289150	NM_025910	ENSMUSG00000022724	Riox2	1810047J07Rik|2410057H13Rik|3830408E23Rik|AI449204|Mina	ribosomal oxygenase 2	protein-coding	intron (NM_019665, intron 2 of 7)	RMER12C|LTR|ERVK	-11945	NR_040564	75145.0	Mm.399348	NR_040564	ENSMUSG00000116894	4930547E14Rik	-	RIKEN cDNA 4930547E14 gene	ncRNA	1.0	-2.0
472	chr16	62800000	62850000	chr16	64750000	64800000		intron (NM_026577, intron 3 of 9)	intron (NM_026577, intron 3 of 9)	10324	NM_026588	68159.0	Mm.386793	NM_026588	ENSMUSG00000047854	Stx19	A030009B12Rik	syntaxin 19	protein-coding	Intergenic	Intergenic	-4061	NM_026273	67609.0	Mm.212157	NM_026273	ENSMUSG00000059920	4930453N24Rik	AI649104|din	RIKEN cDNA 4930453N24 gene	protein-coding	2.0	-1.0
473	chr16	63850000	63900000	chr16	64700000	64750000		Intergenic	L1MC1|LINE|L1	-10825	NM_001362452	13837.0	Mm.1977	NM_010140	ENSMUSG00000052504	Epha3	AW492086|Cek4|EK4|ETK1|End3|Hek|Hek4|Mek4|Tyro4	Eph receptor A3	protein-coding	Intergenic	Intergenic	45939	NM_026273	67609.0	Mm.212157	NM_026273	ENSMUSG00000059920	4930453N24Rik	AI649104|din	RIKEN cDNA 4930453N24 gene	protein-coding	-2.0	9.0
474	chr16	64900000	64950000	chr16	65450000	65500000		3' UTR (NM_008310, exon 3 of 3)	3' UTR (NM_008310, exon 3 of 3)	72999	NM_178647	106143.0	Mm.10160	NM_178647	ENSMUSG00000054604	Cggbp1	AA960172|AL023996|AW045841	CGG triplet repeat binding protein 1	protein-coding	Intergenic	Lx5|LINE|L1	-45512	NM_008849	18736.0	Mm.355440	NM_008849	ENSMUSG00000004842	Pou1f1	GHF-1|Hmp1|Pit-1|Pit1|Pit1-rs1|dw|dwarf	POU domain, class 1, transcription factor 1	protein-coding	15.0	-9.0
475	chr16	75650000	75700000	chr16	76900000	76950000		Intergenic	Intergenic	82109	NM_198302	224344.0	Mm.273214	NM_198302	ENSMUSG00000032940	Rbm11	A330018F01	RNA binding motif protein 11	protein-coding	Intergenic	Intergenic	85881	NR_040573	76601.0	Mm.396217	NR_040573	ENSMUSG00000100857	1700041M19Rik	-	RIKEN cDNA 1700041M19 gene	ncRNA	16.0	17.0
476	chr16	75750000	75800000	chr16	76100000	76150000		Intergenic	MTD-int|LTR|ERVL-MaLR	-8182	NR_027492	110920.0	Mm.26704	NM_030201	ENSMUSG00000032932	Hspa13	1600002I10Rik|AV006182|B230217N24Rik|Stch	heat shock protein 70 family, member 13	protein-coding	intron (NR_040575, intron 1 of 2)	intron (NR_040575, intron 1 of 2)	2387	NR_040575	78215.0	Mm.243885	NR_040575	ENSMUSG00000116695	4930578N18Rik	-	RIKEN cDNA 4930578N18 gene	ncRNA	-2.0	0.0
477	chr16	76200000	76250000	chr16	76750000	76800000		Intergenic	Intergenic	102387	NR_040575	78215.0	Mm.243885	NR_040575	ENSMUSG00000116695	4930578N18Rik	-	RIKEN cDNA 4930578N18 gene	ncRNA	intron (NR_155453, intron 1 of 3)	intron (NR_155453, intron 1 of 3)	4092	NR_155453	102632814.0		NR_155453	ENSMUSG00000109333	Gm30790	Gm45028	predicted gene, 30790	ncRNA	20.0	1.0
478	chr16	84550000	84600000	chr16	84800000	84850000		Intergenic	IAPLTR2a2_Mm|LTR|ERVK	-104789	NR_040537	78023.0	Mm.243853	NR_040537		4930529L06Rik	-	RIKEN cDNA 4930529L06 gene	ncRNA	3' UTR (NM_023844, exon 10 of 10)	3' UTR (NM_023844, exon 10 of 10)	9976	NM_001358499	11957.0	Mm.353	NM_016755	ENSMUSG00000022890	Atp5j	Atp5pf|CF6	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F	protein-coding	-21.0	2.0
479	chr16	85800000	85850000	chr16	87250000	87300000		intron (NR_040506, intron 1 of 3)	L1_Mur3|LINE|L1	5789	NR_040506	75310.0	Mm.108627	NR_040506	ENSMUSG00000116586	4930556C24Rik	-	RIKEN cDNA 4930556C24 gene	ncRNA	Intergenic	L1_Mus1|LINE|L1	-79185	NM_026366	67768.0	Mm.296532	NM_026366	ENSMUSG00000044442	N6amt1	5830445C04Rik|Hemk2|Pred28	N-6 adenine-specific DNA methyltransferase 1 (putative)	protein-coding	1.0	-16.0
480	chr16	87500000	87550000	chr16	87750000	87800000		Intergenic	Intergenic	-28330	NM_144854	224419.0	Mm.194466	NM_144854	ENSMUSG00000025610	Map3k7cl	C21orf7|ORF63|Tak1l	Map3k7 C-terminal like	protein-coding	Intergenic	B2_Mm2|SINE|B2	76046	NM_007520	12013.0	Mm.26147	NM_007520	ENSMUSG00000025612	Bach1	6230421P05Rik|AI323795	BTB and CNC homology 1, basic leucine zipper transcription factor 1	protein-coding	-6.0	15.0
481	chr16	89800000	89850000	chr16	90150000	90200000		intron (NM_001145886, intron 15 of 27)	Lx5|LINE|L1	-6648	NM_001145887	21844.0	Mm.310902	NM_009384	ENSMUSG00000002489	Tiam1	AI847750|D16Ium10|D16Ium10e	T cell lymphoma invasion and metastasis 1	protein-coding	Intergenic	B2_Mm1a|SINE|B2	32763	NR_033476	100038709.0	Mm.484070	NR_033476		Gm10789	-	predicted gene 10789	ncRNA	-1.0	7.0
482	chr16	90350000	90400000	chr16	90700000	90750000		Intergenic	Intergenic	-11397	NM_015755	26559.0	Mm.125874	NM_015755	ENSMUSG00000053414	Hunk	Bstk1|Mak-v	hormonally upregulated Neu-associated kinase	protein-coding	intron (NM_025642, intron 2 of 4)	intron (NM_025642, intron 2 of 4)	2371	NM_025642	66578.0	Mm.180363	NM_025642	ENSMUSG00000022978	Mis18a	2610039C10Rik|2810018N07Rik	MIS18 kinetochore protein A	protein-coding	-2.0	0.0
483	chr16	91150000	91200000	chr16	92200000	92250000		Intergenic	Intergenic	-50550	NM_016967	50913.0	Mm.37289	NM_016967	ENSMUSG00000039830	Olig2	AI604895|Bhlhb1|Olg-2|Oligo2|RK17|bHLHe19	oligodendrocyte transcription factor 2	protein-coding	Intergenic	Intergenic	-67389	NM_134110	246133.0	Mm.156736	NM_134110	ENSMUSG00000039672	Kcne2	2200002I16Rik|AW048273|MiRP1	potassium voltage-gated channel, Isk-related subfamily, gene 2	protein-coding	-10.0	-13.0
484	chr16	91900000	91950000	chr16	92250000	92300000		TTS (NM_138597)	TTS (NM_138597)	6630	NM_138597	28080.0	Mm.41	NM_138597	ENSMUSG00000022956	Atp5o	ATPO|Atp5po|D12Wsu28e|OSCP	ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit	protein-coding	Intergenic	Intergenic	-17389	NM_134110	246133.0	Mm.156736	NM_134110	ENSMUSG00000039672	Kcne2	2200002I16Rik|AW048273|MiRP1	potassium voltage-gated channel, Isk-related subfamily, gene 2	protein-coding	1.0	-3.0
485	chr16	92550000	92600000	chr16	93500000	93550000		Intergenic	RLTR17B_Mm|LTR|ERVK	76853	NM_172469	209195.0	Mm.44747	NM_172469	ENSMUSG00000022949	Clic6	5730466J16Rik|AL022908|AW045520|CLIC1L	chloride intracellular channel 6	protein-coding	Intergenic	Lx9|LINE|L1	-66128	NR_040494	72264.0	Mm.396204	NR_040494	ENSMUSG00000099968	1700029J03Rik	-	RIKEN cDNA 1700029J03 gene	ncRNA	15.0	-13.0
486	chr16	93700000	93750000	chr16	93850000	93900000		intron (NM_027293, intron 2 of 36)	intron (NM_027293, intron 2 of 36)	-5099	NM_001357118	70028.0	Mm.23230	NM_026700	ENSMUSG00000022946	Dop1b	0610038M01Rik|2610510B01Rik|AI503246|C21orf5|Dopey2|mKIAA0933	DOP1 leucine zipper like protein B	protein-coding	3' UTR (NM_001045529, exon 17 of 17)	3' UTR (NM_001045529, exon 17 of 17)	-8901	NM_028083	110749.0	Mm.274222	NM_028083	ENSMUSG00000022945	Chaf1b	2600017H24Rik|C76145|CAF-I p60|CAF-Ip60|CAF1|CAF1A|CAF1P60|MPHOSPH7	chromatin assembly factor 1, subunit B (p60)	protein-coding	-1.0	-2.0
487	chr16	94000000	94050000	chr16	94250000	94300000		Intergenic	B2_Mm1a|SINE|B2	-16163	NM_019500	56173.0	Mm.328716	NM_019500	ENSMUSG00000047109	Cldn14	AI851731	claudin 14	protein-coding	intron (NM_139145, intron 2 of 10)	IAPLTR1a_Mm|LTR|ERVK	15291	NM_001360045	110948.0	Mm.30921	NM_139145	ENSMUSG00000040820	Hlcs	410I21.SP6|D16Jhu34	holocarboxylase synthetase (biotin- [propriony-Coenzyme A-carboxylase (ATP-hydrolysing)] ligase)	protein-coding	-3.0	3.0
488	chr16	94700000	94750000	chr16	95950000	96000000		Intergenic	Intergenic	113581	NM_001347731	13548.0	Mm.310973	NM_007890	ENSMUSG00000022897	Dyrk1a	2310043O08Rik|D16Ertd272e|D16Ertd493e|Dyrk|Gm10783|Mnbh|Mp86|mmb	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1a	protein-coding	Intergenic	ORR1A1-int|LTR|ERVL-MaLR	15960	NM_019537	56088.0	Mm.396248	NM_019537	ENSMUSG00000022913	Psmg1	AW552102|Dscr2	proteasome (prosome, macropain) assembly chaperone 1	protein-coding	23.0	3.0
489	chr16	95150000	95200000	chr16	95300000	95350000		Intergenic	Intergenic	-82558	NM_001271693	16516.0	Mm.272239	NM_019664	ENSMUSG00000062609	Kcnj15	4930414N08Rik|AI182284|AI267127|IRKK|Kir4.2	potassium inwardly-rectifying channel, subfamily J, member 15	protein-coding	Intergenic	Lx7|LINE|L1	-65298	NR_153766	102633941.0	Mm.384086	NR_153766		Gm31641	-	predicted gene, 31641	ncRNA	-17.0	-13.0
490	chr16	95650000	95700000	chr16	95900000	95950000		Intergenic	Intergenic	-27407	NM_011809	23872.0	Mm.290207	NM_011809	ENSMUSG00000022895	Ets2	AU022856|Ets-2	E26 avian leukemia oncogene 2, 3' domain	protein-coding	intron (NR_040484, intron 1 of 3)	intron (NR_040484, intron 1 of 3)	4077	NR_040484	69776.0	Mm.120470	NR_040484	ENSMUSG00000117232	1600002D24Rik	-	RIKEN cDNA 1600002D24 gene	ncRNA	-5.0	1.0
491	chr12	3900000	3950000	chr12	4050000	4100000		Intergenic	B4|SINE|B4	-29945	NM_001278583	18976.0	Mm.277996	NM_008895	ENSMUSG00000020660	Pomc	ACTH|BE|Beta-LPH|Clip|Gamma-LPH|Npp|Pomc-1|Pomc1|alpha-MSH|alphaMSH|beta-MSH|gamma-MSH	pro-opiomelanocortin-alpha	protein-coding	Intergenic	Intergenic	-7574	NM_153082	217378.0	Mm.271656	NM_153082	ENSMUSG00000020657	Dnajc27	AI639580|C330021A05Rik|Rabj|Rbj	DnaJ heat shock protein family (Hsp40) member C27	protein-coding	-6.0	-2.0
492	chr12	8300000	8350000	chr12	8500000	8550000		intron (NM_021429, intron 4 of 6)	intron (NM_021429, intron 4 of 6)	11567	NM_021429	58240.0	Mm.309954	NM_021429	ENSMUSG00000020605	Hs1bp3	-	HCLS1 binding protein 3	protein-coding	Intergenic	MT2A|LTR|ERVL	14566	NM_001286385	328059.0	Mm.46326	NM_177802	ENSMUSG00000020600	Slc7a15	Arpat	solute carrier family 7 (cationic amino acid transporter, y+ system), member 15	protein-coding	2.0	3.0
493	chr12	9050000	9100000	chr12	10400000	10450000		Intergenic	LTR88a|LTR|Gypsy?	45003	NM_029321	75516.0	Mm.37581	NM_029321	ENSMUSG00000066637	Ttc32	1700013G20Rik	tetratricopeptide repeat domain 32	protein-coding	Intergenic	Intergenic	-21388	NR_110487	328061.0	Mm.56067	NR_110487	ENSMUSG00000112792	Gm38407	4931412M21	predicted gene, 38407	ncRNA	9.0	-4.0
494	chr12	11200000	11250000	chr12	11250000	11300000		Intergenic	Intergenic	-16052	NM_019544	56184.0	Mm.117113	NM_019544	ENSMUSG00000047002	Msgn1	Msgn|pMsgn1	mesogenin 1	protein-coding	intron (NM_001324476, intron 3 of 25)	intron (NM_001324476, intron 3 of 25)	9114	NM_001361252	67241.0	Mm.173953	NM_025695	ENSMUSG00000020608	Smc6	2810489L22Rik|3830418C19Rik|AA990493|AU018782|AW742439|SMC-6|Smc6l1|mKIAA4103	structural maintenance of chromosomes 6	protein-coding	-3.0	2.0
495	chr12	11200000	11250000	chr12	12250000	12300000		Intergenic	Intergenic	-16052	NM_019544	56184.0	Mm.117113	NM_019544	ENSMUSG00000047002	Msgn1	Msgn|pMsgn1	mesogenin 1	protein-coding	intron (NM_001146119, intron 1 of 11)	L2a|LINE|L2	12823	NM_029758	76820.0	Mm.440802	NM_029758	ENSMUSG00000020589	Fam49a	2410157M17Rik|9630047E15|D12Ertd553e	family with sequence similarity 49, member A	protein-coding	-3.0	3.0
496	chr12	12150000	12200000	chr12	12300000	12350000		Intergenic	Intergenic	-87177	NM_001146119	76820.0	Mm.440802	NM_029758	ENSMUSG00000020589	Fam49a	2410157M17Rik|9630047E15|D12Ertd553e	family with sequence similarity 49, member A	protein-coding	intron (NM_029758, intron 3 of 12)	intron (NM_029758, intron 3 of 12)	62823	NM_029758	76820.0	Mm.440802	NM_029758	ENSMUSG00000020589	Fam49a	2410157M17Rik|9630047E15|D12Ertd553e	family with sequence similarity 49, member A	protein-coding	-17.0	13.0
497	chr12	12400000	12450000	chr12	13200000	13250000		Intergenic	MER63C|DNA|hAT-Blackjack	-32525	NR_045829	70858.0	Mm.410838	NR_045829	ENSMUSG00000114136	4921511I17Rik	-	RIKEN cDNA 4921511I17 gene	ncRNA	intron (NM_134040, intron 20 of 25)	intron (NM_134040, intron 20 of 25)	24174	NM_134040	104721.0	Mm.251255	NM_134040	ENSMUSG00000037149	Ddx1	AA409185|DBP-RB	DEAD (Asp-Glu-Ala-Asp) box polypeptide 1	protein-coding	-7.0	5.0
498	chr12	17650000	17700000	chr12	17750000	17800000		Intergenic	Intergenic	-15809	NM_016677	53602.0	Mm.313619	NM_016677	ENSMUSG00000071379	Hpcal1	NVL-3|NVP-3|Nvp3|VILIP3|Vnsl3|Vsnl3	hippocalcin-like 1	protein-coding	intron (NM_001361645, intron 2 of 4)	intron (NM_001361645, intron 2 of 4)	84191	NM_001361645	53602.0	Mm.313619	NM_016677	ENSMUSG00000071379	Hpcal1	NVL-3|NVP-3|Nvp3|VILIP3|Vnsl3|Vsnl3	hippocalcin-like 1	protein-coding	-3.0	17.0
499	chr12	18450000	18500000	chr12	20350000	20400000		Intergenic	Intergenic	-39510	NM_001033157	236366.0	Mm.352227	NM_001033157	ENSMUSG00000073197	5730507C01Rik	-	RIKEN cDNA 5730507C01 gene	protein-coding	Intergenic	MMETn-int|LTR|ERVK	440779	NR_015521	69513.0	Mm.273972	NR_015521	ENSMUSG00000099759	1700030C10Rik	-	RIKEN cDNA 1700030C10 gene	ncRNA	-8.0	88.0
500	chr12	18550000	18600000	chr12	19300000	19350000		Intergenic	(TCTG)n|Simple_repeat|Simple_repeat	60490	NM_001201330	236366.0	Mm.352227	NM_001033157	ENSMUSG00000073197	5730507C01Rik	-	RIKEN cDNA 5730507C01 gene	protein-coding	Intergenic	Intergenic	810490	NM_001033157	236366.0	Mm.352227	NM_001033157	ENSMUSG00000073197	5730507C01Rik	-	RIKEN cDNA 5730507C01 gene	protein-coding	12.0	162.0
501	chr12	18900000	18950000	chr12	19800000	19850000		Intergenic	Intergenic	410490	NM_001201330	236366.0	Mm.352227	NM_001033157	ENSMUSG00000073197	5730507C01Rik	-	RIKEN cDNA 5730507C01 gene	protein-coding	Intergenic	Intergenic	990779	NR_015521	69513.0	Mm.273972	NR_015521	ENSMUSG00000099759	1700030C10Rik	-	RIKEN cDNA 1700030C10 gene	ncRNA	82.0	198.0
502	chr12	19300000	19350000	chr12	20500000	20550000		Intergenic	Intergenic	810490	NM_001201330	236366.0	Mm.352227	NM_001033157	ENSMUSG00000073197	5730507C01Rik	-	RIKEN cDNA 5730507C01 gene	protein-coding	Intergenic	RLTR11A2|LTR|ERVK	290779	NR_015521	69513.0	Mm.273972	NR_015521	ENSMUSG00000099759	1700030C10Rik	-	RIKEN cDNA 1700030C10 gene	ncRNA	162.0	58.0
